start_id,end_id,relationship_type,direction
54751,GO:0008092,participates,both
84676,GO:0008092,participates,both
8440,GO:0008092,participates,both
5357,GO:0008092,participates,both
9026,GO:0008092,participates,both
85477,GO:0008092,participates,both
23122,GO:0008092,participates,both
54899,GO:0008092,participates,both
4137,GO:0008092,participates,both
10810,GO:0008092,participates,both
5874,GO:0008092,participates,both
29999,GO:0008092,participates,both
84376,GO:0008092,participates,both
302,GO:0008092,participates,both
7170,GO:0008092,participates,both
103910,GO:0008092,participates,both
6786,GO:0008092,participates,both
80206,GO:0008092,participates,both
10565,GO:0008092,participates,both
10391,GO:0008092,participates,both
6744,GO:0008092,participates,both
54462,GO:0008092,participates,both
92558,GO:0008092,participates,both
83543,GO:0008092,participates,both
5216,GO:0008092,participates,both
84251,GO:0008092,participates,both
9702,GO:0008092,participates,both
5898,GO:0008092,participates,both
81873,GO:0008092,participates,both
83715,GO:0008092,participates,both
1729,GO:0008092,participates,both
146909,GO:0008092,participates,both
79778,GO:0008092,participates,both
11275,GO:0008092,participates,both
4131,GO:0008092,participates,both
64837,GO:0008092,participates,both
2483,GO:0008092,participates,both
6337,GO:0008092,participates,both
4653,GO:0008092,participates,both
24139,GO:0008092,participates,both
51517,GO:0008092,participates,both
29127,GO:0008092,participates,both
114793,GO:0008092,participates,both
6622,GO:0008092,participates,both
10096,GO:0008092,participates,both
9223,GO:0008092,participates,both
1785,GO:0008092,participates,both
85378,GO:0008092,participates,both
92154,GO:0008092,participates,both
22948,GO:0008092,participates,both
282991,GO:0008092,participates,both
23281,GO:0008092,participates,both
88,GO:0008092,participates,both
1062,GO:0008092,participates,both
58529,GO:0008092,participates,both
4644,GO:0008092,participates,both
6903,GO:0008092,participates,both
11252,GO:0008092,participates,both
29881,GO:0008092,participates,both
23303,GO:0008092,participates,both
83988,GO:0008092,participates,both
22921,GO:0008092,participates,both
57669,GO:0008092,participates,both
7134,GO:0008092,participates,both
9371,GO:0008092,participates,both
1265,GO:0008092,participates,both
57477,GO:0008092,participates,both
2035,GO:0008092,participates,both
23500,GO:0008092,participates,both
23172,GO:0008092,participates,both
57576,GO:0008092,participates,both
23224,GO:0008092,participates,both
776,GO:0008092,participates,both
643246,GO:0008092,participates,both
80115,GO:0008092,participates,both
5970,GO:0008092,participates,both
1773,GO:0008092,participates,both
